01;Kmetijska proizvodnja in lov ter z njima povezane storitve
01.1;Pridelovanje netrajnih rastlin
01.11;Pridelovanje žit (razen riža), stročnic in oljnic
01.110;Pridelovanje žit (razen riža), stročnic in oljnic
01.12;Pridelovanje riža
01.120;Pridelovanje riža
01.13;Pridelovanje zelenjadnic in melon, korenovk in gomoljnic
01.130;Pridelovanje zelenjadnic in melon, korenovk in gomoljnic
01.14;Pridelovanje sladkornega trsa
01.140;Pridelovanje sladkornega trsa
01.15;Pridelovanje tobaka
01.150;Pridelovanje tobaka
01.16;Pridelovanje rastlin za vlakna
01.160;Pridelovanje rastlin za vlakna
01.19;Pridelovanje cvetja in drugih enoletnih rastlin
01.190;Pridelovanje cvetja in drugih enoletnih rastlin
01.2;Gojenje trajnih nasadov
01.21;Vinogradništvo
01.210;Vinogradništvo
01.22;Gojenje tropskega in subtropskega sadja
01.220;Gojenje tropskega in subtropskega sadja
01.23;Gojenje citrusov
01.230;Gojenje citrusov
01.24;Gojenje pečkatega in koščičastega sadja
01.240;Gojenje pečkatega in koščičastega sadja
01.25;Gojenje drugih sadnih dreves in grmovnic
01.250;Gojenje drugih sadnih dreves in grmovnic
01.26;Pridelovanje oljnih sadežev
01.260;Pridelovanje oljnih sadežev
01.27;Gojenje rastlin za izdelavo napitkov
01.270;Gojenje rastlin za izdelavo napitkov
01.28;Gojenje začimbnih, aromatskih in zdravilnih rastlin
01.280;Gojenje začimbnih, aromatskih in zdravilnih rastlin
01.29;Gojenje drugih trajnih nasadov
01.290;Gojenje drugih trajnih nasadov
01.3;Razmnoževanje rastlin
01.30;Razmnoževanje rastlin
01.300;Razmnoževanje rastlin
01.4;Živinoreja
01.41;Prireja mleka
01.410;Prireja mleka
01.42;Druga govedoreja
01.420;Druga govedoreja
01.43;Konjereja
01.430;Konjereja
01.44;Reja kamel
01.440;Reja kamel
01.45;Reja drobnice
01.450;Reja drobnice
01.46;Prašičereja
01.460;Prašičereja
01.47;Reja perutnine
01.470;Reja perutnine
01.49;Reja drugih živali
01.490;Reja drugih živali
01.5;Mešano kmetijstvo
01.50;Mešano kmetijstvo
01.500;Mešano kmetijstvo
01.6;Storitve za kmetijsko proizvodnjo, priprava pridelkov
01.61;Storitve za rastlinsko pridelavo
01.610;Storitve za rastlinsko pridelavo
01.62;Storitve za živinorejo, razen veterinarskih
01.620;Storitve za živinorejo, razen veterinarskih
01.63;Priprava pridelkov
01.630;Priprava pridelkov
01.64;Obdelava semen
01.640;Obdelava semen
01.7;Lovstvo
01.70;Lovstvo
01.700;Lovstvo
02;Gozdarstvo
02.1;Gojenje gozdov in druge gozdarske dejavnosti
02.10;Gojenje gozdov in druge gozdarske dejavnosti
02.100;Gojenje gozdov in druge gozdarske dejavnosti
02.2;Sečnja
02.20;Sečnja
02.200;Sečnja
02.3;Nabiranje gozdnih dobrin, razen lesa
02.30;Nabiranje gozdnih dobrin, razen lesa
02.300;Nabiranje gozdnih dobrin, razen lesa
02.4;Storitve za gozdarstvo
02.40;Storitve za gozdarstvo
02.400;Storitve za gozdarstvo
03;Ribištvo in gojenje vodnih organizmov
03.1;Ribištvo
03.11;Morsko ribištvo
03.110;Morsko ribištvo
03.12;Sladkovodno ribištvo
03.120;Sladkovodno ribištvo
03.2;Gojenje vodnih organizmov
03.21;Gojenje morskih organizmov
03.210;Gojenje morskih organizmov
03.22;Gojenje sladkovodnih organizmov
03.220;Gojenje sladkovodnih organizmov
05;Pridobivanje premoga
05.1;Pridobivanje črnega premoga
05.10;Pridobivanje črnega premoga
05.100;Pridobivanje črnega premoga
05.2;Pridobivanje rjavega premoga in lignita
05.20;Pridobivanje rjavega premoga in lignita
05.200;Pridobivanje rjavega premoga in lignita
06;Pridobivanje surove nafte in zemeljskega plina
06.1;Pridobivanje surove nafte
06.10;Pridobivanje surove nafte
06.100;Pridobivanje surove nafte
06.2;Pridobivanje zemeljskega plina
06.20;Pridobivanje zemeljskega plina
06.200;Pridobivanje zemeljskega plina
07;Pridobivanje rud
07.1;Pridobivanje železove rude
07.10;Pridobivanje železove rude
07.100;Pridobivanje železove rude
07.2;Pridobivanje rud neželeznih kovin
07.21;Pridobivanje uranove in torijeve rude
07.210;Pridobivanje uranove in torijeve rude
07.29;Pridobivanje rud drugih neželeznih kovin
07.290;Pridobivanje rud drugih neželeznih kovin
08;Pridobivanje rudnin in kamnin
08.1;Pridobivanje kamna, peska in gline
08.11;Pridobivanje kamna
08.110;Pridobivanje kamna
08.12;Pridobivanje gramoza, peska, gline
08.120;Pridobivanje gramoza, peska, gline
08.9;Pridobivanje drugih rudnin in kamnin
08.91;Pridobivanje mineralov za kemikalije in gnojila
08.910;Pridobivanje mineralov za kemikalije in gnojila
08.92;Pridobivanje šote
08.920;Pridobivanje šote
08.93;Pridobivanje soli
08.930;Pridobivanje soli
08.99;Drugo pridobivanje rudnin in kamnin
08.990;Drugo pridobivanje rudnin in kamnin
09;Storitve za rudarstvo
09.1;Storitve za pridobivanje nafte in zemeljskega plina
09.10;Storitve za pridobivanje nafte in zemeljskega plina
09.100;Storitve za pridobivanje nafte in zemeljskega plina
09.9;Storitve za drugo rudarjenje
09.90;Storitve za drugo rudarjenje
09.900;Storitve za drugo rudarjenje
10;Proizvodnja živil
10.1;Proizvodnja mesa in mesnih izdelkov
10.11;Proizvodnja mesa, razen perutninskega
10.110;Proizvodnja mesa, razen perutninskega
10.12;Proizvodnja perutninskega mesa
10.120;Proizvodnja perutninskega mesa
10.13;Proizvodnja mesnih izdelkov
10.130;Proizvodnja mesnih izdelkov
10.2;Predelava in konzerviranje rib, rakov in mehkužcev
10.20;Predelava in konzerviranje rib, rakov in mehkužcev
10.200;Predelava in konzerviranje rib, rakov in mehkužcev
10.3;Predelava in konzerviranje sadja in zelenjave
10.31;Predelava in konzerviranje krompirja
10.310;Predelava in konzerviranje krompirja
10.32;Proizvodnja sadnih in zelenjavnih sokov
10.320;Proizvodnja sadnih in zelenjavnih sokov
10.39;Druga predelava in konzerviranje sadja in zelenjave
10.390;Druga predelava in konzerviranje sadja in zelenjave
10.4;Proizvodnja rastlinskih in živalskih olj in maščob
10.41;Proizvodnja olja in maščob
10.410;Proizvodnja olja in maščob
10.42;Proizvodnja margarine in podobnih jedilnih maščob
10.420;Proizvodnja margarine in podobnih jedilnih maščob
10.5;Predelava mleka
10.51;Mlekarstvo in sirarstvo
10.510;Mlekarstvo in sirarstvo
10.52;Proizvodnja sladoleda
10.520;Proizvodnja sladoleda
10.6;Mlinarstvo, proizvodnja škroba in škrobnih izdelkov
10.61;Mlinarstvo
10.610;Mlinarstvo
10.62;Proizvodnja škroba in škrobnih izdelkov
10.620;Proizvodnja škroba in škrobnih izdelkov
10.7;Proizvodnja pekarskih izdelkov in testenin
10.71;Proizvodnja kruha, svežega peciva in slaščic
10.710;Proizvodnja kruha, svežega peciva in slaščic
10.72;Proizvodnja prepečenca in piškotov, proizvodnja trajnega peciva in slaščic
10.720;Proizvodnja prepečenca in piškotov, proizvodnja trajnega peciva in slaščic
10.73;Proizvodnja testenin
10.730;Proizvodnja testenin
10.8;Proizvodnja drugih prehrambenih izdelkov
10.81;Proizvodnja sladkorja
10.810;Proizvodnja sladkorja
10.82;Proizvodnja kakava, čokolade in sladkornih izdelkov
10.820;Proizvodnja kakava, čokolade in sladkornih izdelkov
10.83;Predelava čaja in kave
10.830;Predelava čaja in kave
10.84;Proizvodnja začimb, dišav in drugih dodatkov
10.840;Proizvodnja začimb, dišav in drugih dodatkov
10.85;Proizvodnja pripravljenih jedi in obrokov
10.850;Proizvodnja pripravljenih jedi in obrokov
10.86;Proizvodnja homogeniziranih in dietetičnih živil
10.860;Proizvodnja homogeniziranih in dietetičnih živil
10.89;Proizvodnja drugih prehrambenih izdelkov, drugje nerazvrščenih
10.890;Proizvodnja drugih prehrambenih izdelkov, drugje nerazvrščenih
10.9;Proizvodnja krmil in hrane za hišne živali
10.91;Proizvodnja krmil
10.910;Proizvodnja krmil
10.92;Proizvodnja hrane za hišne živali
10.920;Proizvodnja hrane za hišne živali
11;Proizvodnja pijač
11.0;Proizvodnja pijač
11.01;Proizvodnja žganih pijač
11.010;Proizvodnja žganih pijač
11.02;Proizvodnja vina iz grozdja
11.020;Proizvodnja vina iz grozdja
11.03;Proizvodnja sadnih vin in podobnih fermentiranih pijač
11.030;Proizvodnja sadnih vin in podobnih fermentiranih pijač
11.04;Proizvodnja aromatiziranih vin iz grozdja
11.040;Proizvodnja aromatiziranih vin iz grozdja
11.05;Proizvodnja piva
11.050;Proizvodnja piva
11.06;Proizvodnja slada
11.060;Proizvodnja slada
11.07;Proizvodnja brezalkoholnih pijač, mineralnih in drugih stekleničenih vod
11.070;Proizvodnja brezalkoholnih pijač, mineralnih in drugih stekleničenih vod
12;Proizvodnja tobačnih izdelkov
12.0;Proizvodnja tobačnih izdelkov
12.00;Proizvodnja tobačnih izdelkov
12.000;Proizvodnja tobačnih izdelkov
13;Proizvodnja tekstilij
13.1;Priprava in predenje tekstilnih vlaken
13.10;Priprava in predenje tekstilnih vlaken
13.100;Priprava in predenje tekstilnih vlaken
13.2;Tkanje tekstilij
13.20;Tkanje tekstilij
13.200;Tkanje tekstilij
13.3;Dodelava tekstilij
13.30;Dodelava tekstilij
13.300;Dodelava tekstilij
13.9;Proizvodnja drugih tekstilij
13.91;Proizvodnja pletenih in kvačkanih materialov
13.910;Proizvodnja pletenih in kvačkanih materialov
13.92;Proizvodnja končnih tekstilnih izdelkov, razen oblačil
13.920;Proizvodnja končnih tekstilnih izdelkov, razen oblačil
13.93;Proizvodnja preprog
13.930;Proizvodnja preprog
13.94;Proizvodnja vrvi, vrvic in mrež
13.940;Proizvodnja vrvi, vrvic in mrež
13.95;Proizvodnja netkanih tekstilij in izdelkov iz njih, razen oblačil
13.950;Proizvodnja netkanih tekstilij in izdelkov iz njih, razen oblačil
13.96;Proizvodnja tehničnega in industrijskega tekstila
13.960;Proizvodnja tehničnega in industrijskega tekstila
13.99;Proizvodnja drugje nerazvrščenih tekstilij
13.990;Proizvodnja drugje nerazvrščenih tekstilij
14;Proizvodnja oblačil
14.1;Proizvodnja oblačil, razen krznenih
14.11;Proizvodnja usnjenih oblačil
14.110;Proizvodnja usnjenih oblačil
14.12;Proizvodnja delovnih oblačil
14.120;Proizvodnja delovnih oblačil
14.13;Proizvodnja drugih vrhnjih oblačil
14.130;Proizvodnja drugih vrhnjih oblačil
14.14;Proizvodnja spodnjega perila
14.140;Proizvodnja spodnjega perila
14.19;Proizvodnja drugih oblačil, pokrival ter dodatkov
14.190;Proizvodnja drugih oblačil, pokrival ter dodatkov
14.2;Proizvodnja krznenih izdelkov
14.20;Proizvodnja krznenih izdelkov
14.200;Proizvodnja krznenih izdelkov
14.3;Proizvodnja pletenih in kvačkanih oblačil
14.31;Proizvodnja nogavic
14.310;Proizvodnja nogavic
14.39;Proizvodnja drugih pletenih in kvačkanih oblačil
14.390;Proizvodnja drugih pletenih in kvačkanih oblačil
15;Proizvodnja usnja, usnjenih in sorodnih izdelkov
15.1;Strojenje in dodelava usnja in krzna, proizvodnja potovalne galanterije in sedlarskih izdelkov
15.11;Strojenje in dodelava usnja in krzna
15.110;Strojenje in dodelava usnja in krzna
15.12;Proizvodnja potovalne galanterije, sedlarskih in jermenarskih izdelkov
15.120;Proizvodnja potovalne galanterije, sedlarskih in jermenarskih izdelkov
15.2;Proizvodnja obutve
15.20;Proizvodnja obutve
15.200;Proizvodnja obutve
16;Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva
16.1;Žaganje, skobljanje in impregniranje lesa
16.10;Žaganje, skobljanje in impregniranje lesa
16.100;Žaganje, skobljanje in impregniranje lesa
16.2;Proizvodnja lesenih, plutovinastih, pletarskih izdelkov
16.21;Proizvodnja furnirja in plošč na osnovi lesa
16.210;Proizvodnja furnirja in plošč na osnovi lesa
16.22;Proizvodnja sestavljenega parketa
16.220;Proizvodnja sestavljenega parketa
16.23;Stavbno mizarstvo in tesarstvo
16.230;Stavbno mizarstvo in tesarstvo
16.24;Proizvodnja lesene embalaže
16.240;Proizvodnja lesene embalaže
